T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),"10,921",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Financial account (millions of US dollars),"-27,202",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Financial account (millions of US dollars),"-16,844",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Financial account (millions of US dollars),"-17,253",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Current account (millions of US dollars),568,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Financial account (millions of US dollars),570,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1985,Balance of Payments: Current account (millions of US dollars),195,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1995,Balance of Payments: Current account (millions of US dollars),-295,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2010,Balance of Payments: Current account (millions of US dollars),"7,506",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2015,Balance of Payments: Current account (millions of US dollars),"-10,273",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2018,Balance of Payments: Current account (millions of US dollars),"7,403",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2019,Balance of Payments: Current account (millions of US dollars),"5,137",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2020,Balance of Payments: Current account (millions of US dollars),894,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2010,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2015,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2018,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2019,Balance of Payments: Capital account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2020,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1985,Balance of Payments: Financial account (millions of US dollars),-460,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1995,Balance of Payments: Financial account (millions of US dollars),-314,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2010,Balance of Payments: Financial account (millions of US dollars),"7,219",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2015,Balance of Payments: Financial account (millions of US dollars),"-11,466",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
