T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
450,Madagascar,1995,Balance of Payments: Capital account (millions of US dollars),40,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2010,Balance of Payments: Capital account (millions of US dollars),75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2015,Balance of Payments: Capital account (millions of US dollars),130,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2018,Balance of Payments: Capital account (millions of US dollars),240,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2019,Balance of Payments: Capital account (millions of US dollars),335,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,1985,Balance of Payments: Financial account (millions of US dollars),-173,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,1995,Balance of Payments: Financial account (millions of US dollars),-132,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2010,Balance of Payments: Financial account (millions of US dollars),-903,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2015,Balance of Payments: Financial account (millions of US dollars),-38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2018,Balance of Payments: Financial account (millions of US dollars),139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
450,Madagascar,2019,Balance of Payments: Financial account (millions of US dollars),-52,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,1985,Balance of Payments: Current account (millions of US dollars),-126,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,1995,Balance of Payments: Current account (millions of US dollars),-78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2010,Balance of Payments: Current account (millions of US dollars),-969,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2015,Balance of Payments: Current account (millions of US dollars),"-1,064",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2018,Balance of Payments: Current account (millions of US dollars),"-1,618",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2019,Balance of Payments: Current account (millions of US dollars),"-1,837",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2010,Balance of Payments: Capital account (millions of US dollars),710,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2015,Balance of Payments: Capital account (millions of US dollars),228,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2018,Balance of Payments: Capital account (millions of US dollars),859,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2019,Balance of Payments: Capital account (millions of US dollars),909,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,1985,Balance of Payments: Financial account (millions of US dollars),-21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,1995,Balance of Payments: Financial account (millions of US dollars),-162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2010,Balance of Payments: Financial account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2015,Balance of Payments: Financial account (millions of US dollars),-688,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2018,Balance of Payments: Financial account (millions of US dollars),-486,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
454,Malawi,2019,Balance of Payments: Financial account (millions of US dollars),-588,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,1985,Balance of Payments: Current account (millions of US dollars),-600,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,1995,Balance of Payments: Current account (millions of US dollars),"-8,644",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2010,Balance of Payments: Current account (millions of US dollars),"25,644",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2015,Balance of Payments: Current account (millions of US dollars),"9,068",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2018,Balance of Payments: Current account (millions of US dollars),"8,026",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2019,Balance of Payments: Current account (millions of US dollars),"12,296",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2020,Balance of Payments: Current account (millions of US dollars),"14,848",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2010,Balance of Payments: Capital account (millions of US dollars),-34,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2015,Balance of Payments: Capital account (millions of US dollars),-309,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2018,Balance of Payments: Capital account (millions of US dollars),-22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2019,Balance of Payments: Capital account (millions of US dollars),79,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2020,Balance of Payments: Capital account (millions of US dollars),-99,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,1985,Balance of Payments: Financial account (millions of US dollars),-781,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,1995,Balance of Payments: Financial account (millions of US dollars),"-9,405",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2010,Balance of Payments: Financial account (millions of US dollars),"5,924",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2015,Balance of Payments: Financial account (millions of US dollars),70,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2018,Balance of Payments: Financial account (millions of US dollars),"-4,767",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2019,Balance of Payments: Financial account (millions of US dollars),"6,527",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
458,Malaysia,2020,Balance of Payments: Financial account (millions of US dollars),"23,969",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,1985,Balance of Payments: Current account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,1995,Balance of Payments: Current account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2010,Balance of Payments: Current account (millions of US dollars),-196,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2015,Balance of Payments: Current account (millions of US dollars),-302,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2018,Balance of Payments: Current account (millions of US dollars),"-1,503",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2019,Balance of Payments: Current account (millions of US dollars),"-1,490",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2020,Balance of Payments: Current account (millions of US dollars),"-1,119",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2010,Balance of Payments: Capital account (millions of US dollars),9,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2015,Balance of Payments: Capital account (millions of US dollars),10,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,1985,Balance of Payments: Financial account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,1995,Balance of Payments: Financial account (millions of US dollars),-50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2010,Balance of Payments: Financial account (millions of US dollars),-71,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2015,Balance of Payments: Financial account (millions of US dollars),-530,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2018,Balance of Payments: Financial account (millions of US dollars),"-1,710",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2019,Balance of Payments: Financial account (millions of US dollars),"-1,928",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
462,Maldives,2020,Balance of Payments: Financial account (millions of US dollars),"-1,410",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1985,Balance of Payments: Current account (millions of US dollars),-210,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1995,Balance of Payments: Current account (millions of US dollars),-284,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2010,Balance of Payments: Current account (millions of US dollars),"-1,190",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2015,Balance of Payments: Current account (millions of US dollars),-697,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2018,Balance of Payments: Current account (millions of US dollars),-836,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1985,Balance of Payments: Capital account (millions of US dollars),81,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1995,Balance of Payments: Capital account (millions of US dollars),130,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2010,Balance of Payments: Capital account (millions of US dollars),252,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2015,Balance of Payments: Capital account (millions of US dollars),342,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2018,Balance of Payments: Capital account (millions of US dollars),239,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1985,Balance of Payments: Financial account (millions of US dollars),-147,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,1995,Balance of Payments: Financial account (millions of US dollars),-167,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2010,Balance of Payments: Financial account (millions of US dollars),-907,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2015,Balance of Payments: Financial account (millions of US dollars),-312,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
466,Mali,2018,Balance of Payments: Financial account (millions of US dollars),-548,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,1985,Balance of Payments: Current account (millions of US dollars),-26,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,1995,Balance of Payments: Current account (millions of US dollars),-380,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2010,Balance of Payments: Current account (millions of US dollars),-420,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2015,Balance of Payments: Current account (millions of US dollars),301,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2018,Balance of Payments: Current account (millions of US dollars),926,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2019,Balance of Payments: Current account (millions of US dollars),873,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2020,Balance of Payments: Current account (millions of US dollars),-576,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,1995,Balance of Payments: Capital account (millions of US dollars),13,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2010,Balance of Payments: Capital account (millions of US dollars),171,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2015,Balance of Payments: Capital account (millions of US dollars),296,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2018,Balance of Payments: Capital account (millions of US dollars),134,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2019,Balance of Payments: Capital account (millions of US dollars),120,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2020,Balance of Payments: Capital account (millions of US dollars),92,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,1985,Balance of Payments: Financial account (millions of US dollars),-42,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,1995,Balance of Payments: Financial account (millions of US dollars),-346,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2010,Balance of Payments: Financial account (millions of US dollars),-64,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2015,Balance of Payments: Financial account (millions of US dollars),162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2018,Balance of Payments: Financial account (millions of US dollars),433,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2019,Balance of Payments: Financial account (millions of US dollars),198,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
470,Malta,2020,Balance of Payments: Financial account (millions of US dollars),-268,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2010,Balance of Payments: Current account (millions of US dollars),-14,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2015,Balance of Payments: Current account (millions of US dollars),-7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2018,Balance of Payments: Current account (millions of US dollars),53,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2010,Balance of Payments: Capital account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2015,Balance of Payments: Capital account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2018,Balance of Payments: Capital account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2010,Balance of Payments: Financial account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2015,Balance of Payments: Financial account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
584,Marshall Islands,2018,Balance of Payments: Financial account (millions of US dollars),-42,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,1985,Balance of Payments: Current account (millions of US dollars),-116,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,1995,Balance of Payments: Current account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2015,Balance of Payments: Current account (millions of US dollars),-956,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2018,Balance of Payments: Current account (millions of US dollars),-973,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2019,Balance of Payments: Current account (millions of US dollars),-831,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2015,Balance of Payments: Capital account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2018,Balance of Payments: Capital account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2019,Balance of Payments: Capital account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,1985,Balance of Payments: Financial account (millions of US dollars),-122,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,1995,Balance of Payments: Financial account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2015,Balance of Payments: Financial account (millions of US dollars),"-1,058",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2018,Balance of Payments: Financial account (millions of US dollars),-817,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
478,Mauritania,2019,Balance of Payments: Financial account (millions of US dollars),955,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,1985,Balance of Payments: Current account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,1995,Balance of Payments: Current account (millions of US dollars),-22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2010,Balance of Payments: Current account (millions of US dollars),"-1,006",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2015,Balance of Payments: Current account (millions of US dollars),-417,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2018,Balance of Payments: Current account (millions of US dollars),-555,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2019,Balance of Payments: Current account (millions of US dollars),-756,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2018,Balance of Payments: Capital account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2019,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,1985,Balance of Payments: Financial account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,1995,Balance of Payments: Financial account (millions of US dollars),84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2010,Balance of Payments: Financial account (millions of US dollars),-856,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2015,Balance of Payments: Financial account (millions of US dollars),-533,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2018,Balance of Payments: Financial account (millions of US dollars),-655,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
480,Mauritius,2019,Balance of Payments: Financial account (millions of US dollars),-712,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,1985,Balance of Payments: Current account (millions of US dollars),800,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,1995,Balance of Payments: Current account (millions of US dollars),"-1,576",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2010,Balance of Payments: Current account (millions of US dollars),"-4,830",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2015,Balance of Payments: Current account (millions of US dollars),"-31,058",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2018,Balance of Payments: Current account (millions of US dollars),"-25,339",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2019,Balance of Payments: Current account (millions of US dollars),"-4,238",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2020,Balance of Payments: Current account (millions of US dollars),"26,571",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2010,Balance of Payments: Capital account (millions of US dollars),-167,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2015,Balance of Payments: Capital account (millions of US dollars),-102,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2018,Balance of Payments: Capital account (millions of US dollars),-65,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2019,Balance of Payments: Capital account (millions of US dollars),-56,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2020,Balance of Payments: Capital account (millions of US dollars),-31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,1985,Balance of Payments: Financial account (millions of US dollars),"-2,117",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,1995,Balance of Payments: Financial account (millions of US dollars),"-5,824",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2010,Balance of Payments: Financial account (millions of US dollars),"-27,881",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2015,Balance of Payments: Financial account (millions of US dollars),"-35,922",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2018,Balance of Payments: Financial account (millions of US dollars),"-31,613",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2019,Balance of Payments: Financial account (millions of US dollars),"-14,871",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
484,Mexico,2020,Balance of Payments: Financial account (millions of US dollars),"21,350",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
583,Micronesia (Fed. States of),2010,Balance of Payments: Current account (millions of US dollars),-25,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
583,Micronesia (Fed. States of),2010,Balance of Payments: Capital account (millions of US dollars),64,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
583,Micronesia (Fed. States of),2010,Balance of Payments: Financial account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,1985,Balance of Payments: Current account (millions of US dollars),-814,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,1995,Balance of Payments: Current account (millions of US dollars),39,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2010,Balance of Payments: Current account (millions of US dollars),-885,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2015,Balance of Payments: Current account (millions of US dollars),-948,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2018,Balance of Payments: Current account (millions of US dollars),"-1,903",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2019,Balance of Payments: Current account (millions of US dollars),"-2,162",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2020,Balance of Payments: Current account (millions of US dollars),-675,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
496,Mongolia,2010,Balance of Payments: Capital account (millions of US dollars),152,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
